match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level
85,486,74,2,6346,24505,596,609,14,5,20,4,291,87.1577,19363,0,2254,108,48,1,116,102,96,25
85,0,68,3,2506,10335,303,387,5,13,19,8,69,15.8335,7259,0,558,102,180,36,218,188,108,19
85,0,16,4,3323,13835,374,471,3,11,25,6,144,72.6984,9565,0,374,48,36,1,100,42,8,21
85,487,57,128,644,12030,269,323,4,11,7,0,95,0,6406,2112,126,214,178,185,108,69,181,18
85,0,100,129,213,11030,297,347,7,15,19,0,79,69.0337,13601,38,23,1,185,41,180,46,81,18
85,488,11,130,1275,23690,558,609,14,8,13,27,348,0,24845,0,1784,249,116,147,0,63,160,25
85,0,72,131,2042,22330,531,574,8,6,8,6,414,2.79932,17184,0,3759,154,116,141,156,63,0,24
85,0,98,132,956,15595,325,426,9,6,11,16,117,0,16638,215,156,108,29,58,36,121,40,20
86,0,104,0,1389,10275,451,307,2,2,3,0,70,0,2428,0,1843,63,46,127,1,168,0,11
86,489,72,1,2708,12840,612,566,5,3,10,4,123,7.03165,9281,0,2182,50,36,147,48,181,185,16
86,0,21,2,1829,18455,799,741,18,0,3,24,116,29.4261,19515,0,1666,50,1,41,141,108,46,18
86,0,6,3,3713,14760,682,615,7,3,2,2,144,0,10264,0,5750,152,147,172,63,46,212,16
86,0,62,4,3345,12865,644,425,6,1,10,0,26,0.9,6569,2450,315,0,231,92,1,11,48,13
86,0,98,128,77,3040,180,185,0,14,2,0,46,0,5226,0,0,77,77,16,0,0,0,9
86,0,54,129,73,7090,302,384,2,6,2,0,82,0,4323,932,52,181,182,151,25,8,63,13
86,0,1,130,524,7480,355,363,2,7,1,16,89,0.166577,1913,0,8,145,18,40,63,0,0,12
86,253,25,131,706,4555,243,267,1,6,4,0,25,4.89882,4393,0,58,46,36,218,29,0,185,11
86,0,97,132,181,7615,326,397,4,5,1,2,40,19.1953,3911,0,0,102,1,36,41,63,0,13
87,490,7,0,2177,12570,399,364,6,3,15,1,62,63.555,8697,0,1139,96,180,1,162,0,46,15
87,491,13,1,5266,15330,565,643,20,2,11,4,103,15.4431,26191,0,2671,204,46,1,63,69,41,21
87,492,106,2,4956,14955,542,595,8,4,24,7,140,0,18627,0,3400,50,36,185,145,141,46,20
87,0,42,3,3971,15135,521,554,5,3,12,3,136,39.3806,7198,1519,3321,1,46,143,65,63,112,19
87,0,85,4,5739,10550,457,473,10,3,18,2,62,0,8875,1716,1848,231,90,36,88,46,0,18
87,493,80,128,2039,8100,374,413,5,9,4,22,150,0,10035,0,321,29,0,0,0,0,0,16
87,253,1,129,275,18970,555,613,2,4,4,9,285,0.667114,6409,64,3059,63,147,145,81,53,113,20
87,0,26,130,1276,5075,242,228,2,14,8,2,32,30.1573,4146,0,55,218,1,214,0,36,0,12
87,0,30,131,467,4250,182,145,1,16,7,0,18,50.8374,5666,1080,19,180,0,31,43,34,0,9
87,494,74,132,735,10920,356,386,2,8,2,15,132,50.6191,7471,0,39,77,50,98,168,16,21,16
88,0,9,0,2196,19985,388,436,3,5,20,2,155,70.8818,9747,0,2373,139,50,185,168,147,0,21
88,495,74,1,4831,16915,403,506,2,6,24,5,187,143.633,11396,0,1446,100,108,50,0,235,0,23
88,0,25,2,4452,16345,408,511,10,8,19,0,174,99.3801,16910,0,1102,96,100,48,108,0,0,23
88,0,21,3,3657,23780,475,549,14,4,10,6,213,60.7548,16214,0,5747,50,102,141,160,108,51,24
88,496,32,4,4891,18325,426,529,12,12,12,21,160,10.8708,13743,0,2665,116,208,71,63,196,46,24
88,497,86,128,541,12725,238,319,1,8,13,2,64,45.2909,6031,0,212,214,36,108,27,218,23,18
88,498,70,129,165,16335,385,465,9,8,8,1,250,9.4998,13250,609,527,1,81,143,48,116,0,22
88,499,110,130,2356,16715,388,477,14,7,15,2,235,5.01709,27669,951,437,214,235,92,119,46,53,22
88,500,71,131,234,12015,254,298,5,10,18,1,65,121.919,8250,0,188,21,108,40,0,63,254,18
88,501,106,132,1097,20520,433,497,6,9,9,4,380,0,14771,0,608,141,116,145,0,48,185,23
89,502,90,0,479,12610,297,353,4,12,5,7,124,17.7548,4861,0,248,102,206,214,46,0,40,18
89,503,39,1,4284,20310,504,612,20,5,8,9,247,25.2192,26172,0,564,63,100,116,108,135,0,25
89,504,110,2,745,10495,301,389,7,13,16,2,61,9.80005,14636,182,51,214,46,119,43,65,40,19
89,0,19,3,1806,14125,345,367,10,14,11,3,119,50.4955,17312,0,464,1,55,63,46,108,9,19
89,505,42,4,1408,15310,365,478,2,11,16,0,208,40.442,9948,865,243,116,63,0,1,46,137,22
89,0,84,128,1094,13770,307,389,1,12,22,14,61,53.3273,9699,0,722,0,6,108,235,46,29,19
89,325,74,129,2199,24585,534,617,15,8,14,16,165,67.9623,21731,610,1712,100,194,235,65,108,48,25
89,326,26,130,3494,16735,383,478,8,5,13,2,108,41.857,7363,0,187,254,0,37,1,108,48,22
89,506,56,131,3005,22230,506,599,14,11,10,4,190,0.13373000000000002,19062,0,6134,212,154,98,63,135,52,24
89,0,93,132,704,28870,546,616,16,7,15,32,224,15.721,19555,0,5445,249,208,139,46,160,63,25
90,507,110,0,702,13140,380,485,11,12,11,3,109,12.7471,22019,186,321,214,92,36,218,53,137,20
90,508,70,1,2241,14890,438,620,13,13,13,0,113,4.21465,16345,306,139,1,116,50,143,81,46,23
90,509,35,2,1976,13540,386,470,8,8,15,3,125,0.333887,13413,0,456,147,36,63,164,166,0,20
90,510,73,3,987,16050,459,524,2,11,11,2,178,27.6992,4525,0,114,63,249,41,46,143,154,21
90,0,59,4,1539,8835,316,431,4,15,16,0,46,0,9676,184,70,151,61,92,164,46,63,19
90,511,88,128,1584,12345,364,401,11,10,19,2,59,117.856,13982,0,195,202,1,41,0,180,37,18
90,0,4,129,1637,18450,534,612,14,12,16,3,177,0.200615,19302,608,4029,135,158,127,63,48,0,22
90,0,15,130,1493,16385,441,600,11,7,16,11,114,0,16093,0,1939,88,114,127,63,52,125,22
90,512,68,131,2729,13215,376,402,9,5,21,4,44,45.7617,15091,0,142,100,58,29,15,108,0,18
90,513,69,132,4353,24640,669,729,13,6,19,1,251,0.233696,12521,1092,7945,114,50,116,137,112,81,25
91,514,6,0,2029,20395,452,593,7,7,5,2,182,0,10056,0,1078,8,141,152,63,164,247,23
91,0,36,1,488,16410,432,518,10,9,20,0,128,15.3069,15333,2733,0,114,137,104,0,0,50,21
91,0,28,2,2577,11380,336,453,2,11,13,0,44,64.786,6739,0,28,1,152,63,0,0,168,20
91,0,106,3,1098,13680,390,471,5,11,18,2,164,0,14233,0,105,145,41,185,48,149,0,20
91,0,25,4,2,11130,300,287,10,13,6,0,95,63.8355,14033,0,69,0,0,0,0,0,0,15
91,292,109,128,1324,25565,576,649,16,3,7,1,235,0,20029,0,8772,116,32,52,63,185,147,24
91,0,4,129,1632,15210,420,409,9,12,5,0,173,0,11108,0,710,152,63,11,154,135,0,19
91,0,26,130,1795,12540,303,373,7,8,10,0,15,50.893,7782,0,400,42,203,214,40,0,1,18
91,515,47,131,360,16810,410,444,9,9,13,10,132,0,16050,0,2145,212,48,249,147,0,0,19
91,0,42,132,2413,19595,481,692,10,6,18,1,146,62.8283,17410,3317,1501,114,116,0,63,151,135,25
92,516,100,0,465,9855,298,379,0,9,18,2,75,36.751,7910,0,35,50,42,168,46,185,41,16
92,517,106,1,2114,22030,612,721,11,4,9,9,351,0,21296,0,2225,141,0,36,212,145,48,23
92,518,57,2,1316,8425,305,395,3,8,14,1,50,0,6180,4669,0,178,1,254,34,46,180,16
92,0,14,3,1006,13665,420,405,11,12,16,1,118,29.6327,20179,131,54,50,102,100,92,127,37,17
92,519,21,4,1101,13660,416,455,6,7,6,10,178,38.347,9866,0,567,46,108,1,50,41,168,18
92,520,8,128,2421,19220,631,672,10,6,20,8,269,13.0863,19682,0,5741,32,212,154,48,143,160,22
92,521,38,129,1078,14160,461,434,10,11,17,7,126,42.6896,13247,0,2987,1,41,0,48,0,194,17
