item_id,time,player_slot,match_id
44,-70,0,1
45,-66,0,1
39,-63,0,1
38,-62,0,1
42,-54,0,1
46,221,0,1
34,222,0,1
29,281,0,1
46,368,0,1
39,369,0,1
42,578,0,1
42,579,0,1
1,972,0,1
20,990,0,1
16,990,0,1
36,1004,0,1
46,1017,0,1
39,1026,0,1
38,1027,0,1
59,1151,0,1
180,1164,0,1
46,1286,0,1
46,1449,0,1
60,1501,0,1
21,1995,0,1
46,2189,0,1
43,2417,0,1
43,2418,0,1
43,2419,0,1
43,2420,0,1
218,2421,0,1
42,2421,0,1
218,2422,0,1
43,2422,0,1
218,2423,0,1
43,2423,0,1
43,2491,0,1
39,2497,0,1
39,2561,0,1
29,-87,1,1
16,-86,1,1
46,283,1,1
46,362,1,1
46,427,1,1
48,497,1,1
21,585,1,1
23,688,1,1
22,817,1,1
108,840,1,1
60,840,1,1
1,1131,1,1
57,1248,1,1
24,1508,1,1
96,1696,1,1
58,1696,1,1
52,2214,1,1
176,2260,1,1
37,2260,1,1
13,-85,2,1
181,-84,2,1
44,-83,2,1
16,-82,2,1
29,188,2,1
25,237,2,1
46,360,2,1
17,384,2,1
63,405,2,1
84,413,2,1
20,544,2,1
73,556,2,1
46,641,2,1
26,812,2,1
46,812,2,1
172,986,2,1
46,1098,2,1
21,1152,2,1
46,1175,2,1
8,1530,2,1
46,1553,2,1
116,2120,2,1
9,2214,2,1
20,28,3,1
15,28,3,1
77,28,3,1
46,29,3,1
44,30,3,1
46,94,3,1
29,244,3,1
46,244,3,1
41,351,3,1
25,452,3,1
46,465,3,1
46,491,3,1
17,559,3,1
46,567,3,1
63,592,3,1
4,689,3,1
46,738,3,1
19,773,3,1
3,884,3,1
46,884,3,1
127,923,3,1
46,959,3,1
46,977,3,1
23,1049,3,1
57,1073,3,1
46,1079,3,1
28,1193,3,1
46,1245,3,1
100,1279,3,1
46,1403,3,1
46,1415,3,1
46,1589,3,1
8,1590,3,1
46,1772,3,1
46,1795,3,1
21,1848,3,1
116,1860,3,1
46,1891,3,1
46,2140,3,1
42,2143,3,1
218,2144,3,1
43,2144,3,1
46,2240,3,1
46,2402,3,1
46,2403,3,1
46,2521,3,1
46,2551,3,1
20,-86,4,1
15,-86,4,1
77,-86,4,1
16,-86,4,1
16,-85,4,1
39,9,4,1
41,170,4,1
29,230,4,1
46,259,4,1
20,304,4,1
34,308,4,1
36,336,4,1
2,358,4,1
2,391,4,1
38,393,4,1
50,416,4,1
46,591,4,1
46,640,4,1
60,749,4,1
23,895,4,1
46,928,4,1
21,1041,4,1
46,1146,4,1
22,1200,4,1
108,1271,4,1
46,1408,4,1
8,1487,4,1
46,1507,4,1
8,1715,4,1
168,1803,4,1
46,1864,4,1
188,1961,4,1
46,2141,4,1
21,2245,4,1
182,-73,128,1
44,-72,128,1
29,94,128,1
11,95,128,1
27,141,128,1
28,141,128,1
178,158,128,1
46,263,128,1
46,378,128,1
54,756,128,1
137,777,128,1
46,778,128,1
46,838,128,1
46,973,128,1
1,1090,128,1
46,1110,128,1
46,1251,128,1
46,1288,128,1
46,1541,128,1
60,1637,128,1
180,1832,128,1
59,1832,128,1
61,1832,128,1
129,1841,128,1
46,2137,128,1
48,2307,128,1
24,2342,128,1
56,2546,128,1
69,2546,128,1
57,2546,128,1
123,2587,128,1
38,-61,129,1
38,-59,129,1
44,-59,129,1
28,82,129,1
178,181,129,1
27,181,129,1
29,267,129,1
180,393,129,1
59,393,129,1
46,441,129,1
20,477,129,1
15,477,129,1
77,477,129,1
46,483,129,1
25,703,129,1
46,809,129,1
25,865,129,1
65,886,129,1
46,891,129,1
46,979,129,1
61,1309,129,1
60,1309,129,1
129,1326,129,1
235,1594,129,1
58,1594,129,1
46,1670,129,1
1,1858,129,1
46,1860,129,1
6,2043,129,1
190,2220,129,1
48,2340,129,1
23,2435,129,1
20,2435,129,1
15,2435,129,1
77,2435,129,1
104,2446,129,1
201,2567,129,1
45,-79,130,1
42,-74,130,1
42,-73,130,1
