item_id,time,player_slot,match_id
21,1995,0,1
46,2189,0,1
43,2417,0,1
43,2418,0,1
43,2419,0,1
43,2420,0,1
218,2421,0,1
42,2421,0,1
218,2422,0,1
43,2422,0,1
218,2423,0,1
43,2423,0,1
43,2491,0,1
39,2497,0,1
39,2561,0,1
52,2214,1,1
176,2260,1,1
37,2260,1,1
116,2120,2,1
9,2214,2,1
21,1848,3,1
116,1860,3,1
46,1891,3,1
46,2140,3,1
42,2143,3,1
218,2144,3,1
43,2144,3,1
46,2240,3,1
46,2402,3,1
46,2403,3,1
46,2521,3,1
46,2551,3,1
168,1803,4,1
46,1864,4,1
188,1961,4,1
46,2141,4,1
21,2245,4,1
180,1832,128,1
59,1832,128,1
61,1832,128,1
129,1841,128,1
46,2137,128,1
48,2307,128,1
24,2342,128,1
56,2546,128,1
69,2546,128,1
57,2546,128,1
123,2587,128,1
1,1858,129,1
46,1860,129,1
6,2043,129,1
190,2220,129,1
48,2340,129,1
23,2435,129,1
20,2435,129,1
15,2435,129,1
77,2435,129,1
104,2446,129,1
201,2567,129,1
21,1826,130,1
23,1996,130,1
22,2086,130,1
108,2151,130,1
46,2153,130,1
46,2154,130,1
42,2157,130,1
21,2252,130,1
8,2281,130,1
116,2382,130,1
46,2409,130,1
46,2410,130,1
29,2553,130,1
48,2553,130,1
53,2000,131,1
61,2092,131,1
114,2114,131,1
46,2189,131,1
8,2349,131,1
25,2349,131,1
166,2385,131,1
55,2412,131,1
158,2482,131,1
46,2542,131,1
196,2563,131,1
1,2029,132,1
3,2246,132,1
2,2246,132,1
149,2246,132,1
51,2421,132,1
141,2436,132,1
3,2564,132,1
5,2564,132,1
56,2564,132,1
69,2564,132,1
57,2564,132,1
145,2564,132,1
11,2564,132,1
23,1908,0,2
46,1937,0,2
102,2190,0,2
46,2287,0,2
22,1818,1,2
18,1818,1,2
170,1818,1,2
154,1847,1,2
46,1927,1,2
24,2218,1,2
147,2375,1,2
57,1893,2,2
69,2125,2,2
56,2125,2,2
123,2321,2,2
57,1862,3,2
69,1892,3,2
145,1892,3,2
8,2208,3,2
21,2209,3,2
116,2363,3,2
29,2612,3,2
43,1867,4,2
42,2090,4,2
23,2160,4,2
42,2251,4,2
21,2568,4,2
46,1840,128,2
46,2115,128,2
1,2321,128,2
56,2415,128,2
69,2462,128,2
57,2462,128,2
56,2497,128,2
69,2573,128,2
57,2573,128,2
110,2682,128,2
6,1852,129,2
46,1853,129,2
42,1855,129,2
20,1885,129,2
15,1908,129,2
77,2013,129,2
190,2049,129,2
42,2134,129,2
218,2136,129,2
43,2136,129,2
218,2139,129,2
42,2139,129,2
46,2145,129,2
60,2154,129,2
21,2311,129,2
42,2321,129,2
23,2458,129,2
22,2469,129,2
108,2492,129,2
23,2639,129,2
27,2639,129,2
102,2682,129,2
22,1866,130,2
18,1866,130,2
170,1866,130,2
24,2081,130,2
147,2108,130,2
46,2357,130,2
10,2515,130,2
52,2518,130,2
32,2532,130,2
139,2546,130,2
26,2687,130,2
164,2687,130,2
6,2687,130,2
81,1810,131,2
22,2056,131,2
18,2056,131,2
170,2056,131,2
24,2306,131,2
147,2382,131,2
46,2555,131,2
46,2700,131,2
21,1832,132,2
23,2103,132,2
108,2103,132,2
22,2103,132,2
46,2111,132,2
188,2165,132,2
46,2370,132,2
4,2512,132,2
16,2512,132,2
86,2512,132,2
242,2512,132,2
46,2516,132,2
231,1907,0,3
43,2048,0,3
218,2049,0,3
42,2049,0,3
46,2050,0,3
46,2227,0,3
43,2228,0,3
43,2431,0,3
42,2479,0,3
218,2498,0,3
46,2731,0,3
43,2734,0,3
27,2925,0,3
16,2925,0,3
94,2925,0,3
116,2095,1,3
46,2436,1,3
51,2619,1,3
7,2726,1,3
7,2727,1,3
135,2774,1,3
46,2976,1,3
7,1951,2,3
143,2016,2,3
196,2082,2,3
46,2509,2,3
21,2561,2,3
8,2561,2,3
116,2562,2,3
46,1893,3,3
27,1971,3,3
46,1976,3,3
102,2138,3,3
42,2141,3,3
40,2145,3,3
46,2222,3,3
42,2324,3,3
37,2489,3,3
29,2798,3,3
48,2798,3,3
40,2895,3,3
46,1834,4,3
24,1911,4,3
96,2461,4,3
58,2461,4,3
24,2541,4,3
56,2588,4,3
69,2601,4,3
57,2601,4,3
123,2718,4,3
46,2981,4,3
7,1823,128,3
135,1927,128,3
17,1947,128,3
46,1948,128,3
21,2071,128,3
162,2122,128,3
210,2200,128,3
32,2200,128,3
55,2493,128,3
9,2921,128,3
4,3082,128,3
112,3083,128,3
46,1830,129,3
46,2034,129,3
55,2199,129,3
247,2199,129,3
3,2229,129,3
149,2345,129,3
51,2507,129,3
141,2508,129,3
8,2653,129,3
21,2729,129,3
21,2754,129,3
116,2939,129,3
42,1889,130,3
42,1893,130,3
46,1987,130,3
42,2174,130,3
218,2176,130,3
43,2176,130,3
58,2416,130,3
46,2529,130,3
46,2631,130,3
46,2793,130,3
119,2859,130,3
9,2859,130,3
46,2890,130,3
190,1828,131,3
30,2055,131,3
46,2173,131,3
60,2227,131,3
23,2240,131,3
21,2370,131,3
22,2553,131,3
108,2594,131,3
30,2768,131,3
42,2885,131,3
42,2886,131,3
60,2969,131,3
46,1801,132,3
21,1804,132,3
17,1849,132,3
46,1885,132,3
162,1913,132,3
249,1954,132,3
46,2003,132,3
46,2197,132,3
21,2202,132,3
8,2202,132,3
116,2202,132,3
46,2365,132,3
51,2388,132,3
46,2465,132,3
46,2500,132,3
46,2735,132,3
46,3063,132,3
7,3080,132,3
7,1824,1,4
7,1825,1,4
135,1843,1,4
23,1847,2,4
27,1847,2,4
102,1848,2,4
37,1887,128,4
23,1823,132,4
187,1805,0,6
46,1809,0,6
